Date,Part,Sales
04/04/2024,Part_1,185
04/05/2024,Part_1,186
04/06/2024,Part_1,187
04/07/2024,Part_1,188
04/08/2024,Part_1,189
04/09/2024,Part_1,190
04/10/2024,Part_1,191
04/11/2024,Part_1,192
04/12/2024,Part_1,193
04/13/2024,Part_1,194
04/14/2024,Part_1,195
04/15/2024,Part_1,196
04/16/2024,Part_1,197
04/17/2024,Part_1,198
04/18/2024,Part_1,199
04/19/2024,Part_1,200
04/20/2024,Part_1,201
04/21/2024,Part_1,202
04/22/2024,Part_1,203
04/23/2024,Part_1,204
04/24/2024,Part_1,205
04/25/2024,Part_1,206
04/26/2024,Part_1,207
04/27/2024,Part_1,208
04/28/2024,Part_1,209
04/29/2024,Part_1,210
04/30/2024,Part_1,241
05/01/2024,Part_1,242
05/02/2024,Part_1,243
05/03/2024,Part_1,244
05/04/2024,Part_1,245
05/05/2024,Part_1,246
05/06/2024,Part_1,247
05/07/2024,Part_1,248
05/08/2024,Part_1,249
05/09/2024,Part_1,250
05/10/2024,Part_1,251
05/11/2024,Part_1,252
05/12/2024,Part_1,253
05/13/2024,Part_1,254
05/14/2024,Part_1,255
05/15/2024,Part_1,256
05/16/2024,Part_1,257
05/17/2024,Part_1,258
05/18/2024,Part_1,259
05/19/2024,Part_1,260
05/20/2024,Part_1,261
05/21/2024,Part_1,262
05/22/2024,Part_1,263
05/23/2024,Part_1,264
05/24/2024,Part_1,265
05/25/2024,Part_1,266
05/26/2024,Part_1,267
05/27/2024,Part_1,268
05/28/2024,Part_1,269
05/29/2024,Part_1,270
05/30/2024,Part_1,301
05/31/2024,Part_1,302
06/01/2024,Part_1,303
06/02/2024,Part_1,304
06/03/2024,Part_1,305
06/04/2024,Part_1,306
06/05/2024,Part_1,307
06/06/2024,Part_1,308
06/07/2024,Part_1,309
06/08/2024,Part_1,310
06/09/2024,Part_1,311
06/10/2024,Part_1,312
06/11/2024,Part_1,313
06/12/2024,Part_1,314
06/13/2024,Part_1,315
06/14/2024,Part_1,316
06/15/2024,Part_1,317
06/16/2024,Part_1,318
06/17/2024,Part_1,319
06/18/2024,Part_1,320
06/19/2024,Part_1,321
06/20/2024,Part_1,322
06/21/2024,Part_1,323
06/22/2024,Part_1,324
06/23/2024,Part_1,325
06/24/2024,Part_1,326
06/25/2024,Part_1,327
06/26/2024,Part_1,328
06/27/2024,Part_1,329
06/28/2024,Part_1,330
06/29/2024,Part_1,361
06/30/2024,Part_1,362
07/01/2024,Part_1,363
07/02/2024,Part_1,364
07/03/2024,Part_1,365
07/04/2024,Part_1,366
07/05/2024,Part_1,367
07/06/2024,Part_1,368
07/07/2024,Part_1,369
07/08/2024,Part_1,370
07/09/2024,Part_1,371
07/10/2024,Part_1,372
07/11/2024,Part_1,373
07/12/2024,Part_1,374
07/13/2024,Part_1,375
07/14/2024,Part_1,376
07/15/2024,Part_1,377
07/16/2024,Part_1,378
07/17/2024,Part_1,379
07/18/2024,Part_1,380
07/19/2024,Part_1,381
07/20/2024,Part_1,382
07/21/2024,Part_1,383
07/22/2024,Part_1,384
07/23/2024,Part_1,385
07/24/2024,Part_1,386
07/25/2024,Part_1,387
07/26/2024,Part_1,388
07/27/2024,Part_1,389
07/28/2024,Part_1,390
07/29/2024,Part_1,421
07/30/2024,Part_1,422
07/31/2024,Part_1,423
08/01/2024,Part_1,424
08/02/2024,Part_1,425
08/03/2024,Part_1,426
08/04/2024,Part_1,427
08/05/2024,Part_1,428
08/06/2024,Part_1,429
08/07/2024,Part_1,430
08/08/2024,Part_1,431
08/09/2024,Part_1,432
08/10/2024,Part_1,433
08/11/2024,Part_1,434
08/12/2024,Part_1,435
08/13/2024,Part_1,436
08/14/2024,Part_1,437
08/15/2024,Part_1,438
08/16/2024,Part_1,439
08/17/2024,Part_1,440
08/18/2024,Part_1,441
08/19/2024,Part_1,442
08/20/2024,Part_1,443
08/21/2024,Part_1,444
08/22/2024,Part_1,445
08/23/2024,Part_1,446
08/24/2024,Part_1,447
08/25/2024,Part_1,448
08/26/2024,Part_1,449
08/27/2024,Part_1,450
08/28/2024,Part_1,481
08/29/2024,Part_1,482
08/30/2024,Part_1,483
08/31/2024,Part_1,484
09/01/2024,Part_1,485
09/02/2024,Part_1,486
09/03/2024,Part_1,487
09/04/2024,Part_1,488
09/05/2024,Part_1,489
09/06/2024,Part_1,490
09/07/2024,Part_1,491
09/08/2024,Part_1,492
09/09/2024,Part_1,493
09/10/2024,Part_1,494
09/11/2024,Part_1,495
09/12/2024,Part_1,496
09/13/2024,Part_1,497
09/14/2024,Part_1,498
09/15/2024,Part_1,499
09/16/2024,Part_1,500
09/17/2024,Part_1,501
09/18/2024,Part_1,502
09/19/2024,Part_1,503
09/20/2024,Part_1,504
09/21/2024,Part_1,505
09/22/2024,Part_1,506
09/23/2024,Part_1,507
09/24/2024,Part_1,508
09/25/2024,Part_1,509
09/26/2024,Part_1,510
09/27/2024,Part_1,541
09/28/2024,Part_1,542
09/29/2024,Part_1,543
09/30/2024,Part_1,544
10/01/2024,Part_1,545
10/02/2024,Part_1,546
10/03/2024,Part_1,547
10/04/2024,Part_1,548
10/05/2024,Part_1,549
10/06/2024,Part_1,550
10/07/2024,Part_1,551
10/08/2024,Part_1,552
10/09/2024,Part_1,553
10/10/2024,Part_1,554
10/11/2024,Part_1,555
10/12/2024,Part_1,556
10/13/2024,Part_1,557
10/14/2024,Part_1,558
10/15/2024,Part_1,559
10/16/2024,Part_1,560
10/17/2024,Part_1,561
10/18/2024,Part_1,562
10/19/2024,Part_1,563
10/20/2024,Part_1,564
10/21/2024,Part_1,565
10/22/2024,Part_1,566
10/23/2024,Part_1,567
10/24/2024,Part_1,568
10/25/2024,Part_1,569
10/26/2024,Part_1,570
10/27/2024,Part_1,601
10/28/2024,Part_1,602
10/29/2024,Part_1,603
10/30/2024,Part_1,604
10/31/2024,Part_1,605
11/01/2024,Part_1,606
11/02/2024,Part_1,607
11/03/2024,Part_1,608
11/04/2024,Part_1,609
11/05/2024,Part_1,610
11/06/2024,Part_1,611
11/07/2024,Part_1,612
11/08/2024,Part_1,613
11/09/2024,Part_1,614
11/10/2024,Part_1,615
11/11/2024,Part_1,616
11/12/2024,Part_1,617
11/13/2024,Part_1,618
11/14/2024,Part_1,619
11/15/2024,Part_1,620
11/16/2024,Part_1,621
11/17/2024,Part_1,622
11/18/2024,Part_1,623
11/19/2024,Part_1,624
11/20/2024,Part_1,625
11/21/2024,Part_1,626
11/22/2024,Part_1,627
11/23/2024,Part_1,628
11/24/2024,Part_1,629
11/25/2024,Part_1,630
11/26/2024,Part_1,661
11/27/2024,Part_1,662
11/28/2024,Part_1,663
11/29/2024,Part_1,664
11/30/2024,Part_1,665
12/01/2024,Part_1,666
12/02/2024,Part_1,667
12/03/2024,Part_1,668
12/04/2024,Part_1,669
12/05/2024,Part_1,670
12/06/2024,Part_1,671
12/07/2024,Part_1,672
12/08/2024,Part_1,673
12/09/2024,Part_1,674
12/10/2024,Part_1,675
12/11/2024,Part_1,676
12/12/2024,Part_1,677
12/13/2024,Part_1,678
12/14/2024,Part_1,679
12/15/2024,Part_1,680
12/16/2024,Part_1,681
12/17/2024,Part_1,682
12/18/2024,Part_1,683
12/19/2024,Part_1,684
12/20/2024,Part_1,685
12/21/2024,Part_1,686
12/22/2024,Part_1,687
12/23/2024,Part_1,688
12/24/2024,Part_1,689
12/25/2024,Part_1,690
12/26/2024,Part_1,721
12/27/2024,Part_1,722
12/28/2024,Part_1,723
12/29/2024,Part_1,724
12/30/2024,Part_1,725
12/31/2024,Part_1,726
